Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Germany,1501 - 6000,Financial Services,Did not respond,Other,SAS Data Management,9.4,Scalability,,Openness,,Fast reaction time on support tickets,,,,,,,,,,Integration into existing IT operations,,Available know-how in the company,,,,,,,,,,,,,4000,50,2,2,In one division,Data Warehousing/BI,,Data Lake,,,,,Data Integration,,,Cloud Integration,,,,,,,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor,Satisfactory,Good,Good,Excellent,Good,Satisfactory,Good,Good,Excellent,Good,Good,Very satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,,,Stayed the same,Stayed the same,,Slightly increased,Slightly increased,Stayed the same,Stayed the same,,Slightly increased,Stayed the same,,,Slightly decreased,Slightly decreased,Strongly decreased,,Slightly decreased,Germany,Germany,Banking and finance,External consultant,,No,,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,1501 - 6000,25 - 75,1.25,1 to less than 5%,Other,,Less than 25,Less than 25
Europe,Austria,1501 - 6000,Financial Services,Did not respond,Synabi D-QUANTUM,Synabi D-QUANTUM,V4,Scalability,Extensibility of the solution,,,,,,,,,,Ease of use for business users,,,Integration into existing IT operations,Convincing performance,,,,,,,,,,,,,,1700,96,2,2,Company-wide,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Satisfactory,Don't know / not available,Good,Good,Good,Good,Satisfactory,Good,Don't know / not available,Good,Good,Don't know / not available,Rather satisfied,,,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,Data culture,,,,,,,,,,,Slightly increased,,,,,Slightly increased,Stayed the same,,,Austria,Banking and finance,Business analyst,IT,Yes,No,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,1501 - 6000,76 - 300,5.647058824,5 to less than 10%,Synabi D-QUANTUM,,Less than 25,Less than 25
Europe,Austria,501 - 1500,Financial Services,Business,dataspot.,dataspot.,V.3.2.5,,Extensibility of the solution,,,,Local presence and good support,,"Flexible, good licensing model/price",Good price-performance ratio,,,,,,Integration into existing IT operations,,,,Integration into enterprise data processes,,Product roadmap,,,,,,,,,1100,100,2,2,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,Data Governance,,,,,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,Data Catalog,,,,,,,,,,,Cannot process data adequately,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Excellent,Good,Excellent,Excellent,Satisfactory,Good,Good,Good,Good,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Strongly increased,Slightly increased,,Austria,Banking and finance,Data engineer/data manager,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,501 - 1500,76 - 300,9.090909091,5 to less than 10%,dataspot.,Business,Less than 25,Less than 25
Europe,Austria,501 - 1500,Financial Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,v4,Scalability,Extensibility of the solution,Openness,,Fast reaction time on support tickets,,,,,,,,,,Integration into existing IT operations,,,Reusability/metadata-driven development,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,Range of available functions,,,,1500,100,2,2,Company-wide,Data Warehousing/BI,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,Data Catalog,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Don't know / not available,Satisfactory,Good,Excellent,Good,Good,Don't know / not available,Don't know / not available,Good,Excellent,Excellent,Rather satisfied,Probably,,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Strongly increased,,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,,,,Slightly increased,,Strongly increased,Strongly increased,Slightly increased,,,Austria,Banking and finance,Chief data officer,IT,No,No,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,501 - 1500,76 - 300,6.666666667,5 to less than 10%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Financial Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,V 4.x,Scalability,Extensibility of the solution,Openness,,,Local presence and good support,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,Integration into existing IT operations,,,Reusability/metadata-driven development,Integration into enterprise data processes,,,,Automation of data processes,,,,,,,1000,150,2,2,Company-wide,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,Data Catalog,,,Lack of management support,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Stayed the same,Strongly increased,Stayed the same,,,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Germany,Germany,Banking and finance,Person responsible for BI from IT department,,No,No,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,76 - 300,15,10 to less than 15%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
Europe,Austria,501 - 1500,Utilities,Business,MS SQL Server,MS SQL Server,2019,Scalability,,,,Fast reaction time on support tickets,,,,,,,,,Disaster recovery concepts,Integration into existing IT operations,,,,,,,,,Connectivity to source and target systems,,,,,,550,200,2,2,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacks of key features,,,,,,,,,,,,Satisfactory,Good,Satisfactory,Good,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Strongly decreased,,Austria,"Oil, gas and mining",CIO/IT management,IT,Yes,,1,Europe,DACH,Utilities,501 - 1000,100 - 2500,501 - 1500,76 - 300,36.36363636,30 to less than 40%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Switzerland,1501 - 6000,Public sector and Education,Business,Qlik Data Integration,Qlik Data Integration,Qlik Sense February 2022 Patch 1,,,,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,,,,,,,5000,700,2,2,Company-wide,,,,Data Governance,,,,,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,,,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,Switzerland,Public sector,Person responsible for BI from IT department,Finance and controlling,Yes,,1,Europe,DACH,Public sector and Education,2501 – 10000,More than 2500,1501 - 6000,More than 300,14,10 to less than 15%,Qlik Data Integration,Business,Less than 25,Less than 25
Europe,Switzerland,1501 - 6000,Public sector and Education,Business,Qlik Data Integration,Qlik Data Integration,Qlik Sense February 2022 Patch 1,,,,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,,,,,,,5000,700,2,2,Company-wide,,,,Data Governance,,,,,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,,,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,Switzerland,Public sector,Person responsible for BI from IT department,Finance and controlling,Yes,,1,Europe,DACH,Public sector and Education,2501 – 10000,More than 2500,1501 - 6000,More than 300,14,10 to less than 15%,Qlik Data Integration,Business,Less than 25,Less than 25
Europe,Switzerland,1501 - 6000,Public sector and Education,Business,Qlik Data Integration,Qlik Data Integration,Qlik Sense February 2022 Patch 1,,,,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,,,,,,,5000,700,2,2,Company-wide,,,,Data Governance,,,,,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,,,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,Switzerland,Public sector,Person responsible for BI from IT department,Finance and controlling,Yes,,1,Europe,DACH,Public sector and Education,2501 – 10000,More than 2500,1501 - 6000,More than 300,14,10 to less than 15%,Qlik Data Integration,Business,Less than 25,Less than 25
Europe,Austria,More than 6000,Manufacturing,IT,SAP BW/4HANA,SAP BW/4HANA,2.0 SP08,Scalability,,,,,,,,,,,,,,,,,,Integration into enterprise data processes,,Product roadmap,,,,,,,,,7500,800,2,2,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,,Data Virtualization,,Data Warehouse Automation,,Master/Reference Data Management,,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Good,Excellent,Excellent,Excellent,Satisfactory,Excellent,Good,Excellent,Excellent,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,,,,,Data culture,,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Stayed the same,Slightly decreased,Strongly decreased,Stayed the same,Stayed the same,Slightly increased,Slightly decreased,Strongly decreased,Slightly decreased,Strongly decreased,Strongly increased,,Austria,Manufacturing,IT employee,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Manufacturing,2501 – 10000,More than 2500,More than 6000,More than 300,10.66666667,10 to less than 15%,SAP BW/4HANA,IT,Less than 25,Less than 25
Europe,United Kingdom,150 - 500,Other,Business,MS SSIS,Microsoft SSIS,2017,,,Openness,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",Good price-performance ratio,,Integrated end-to-end platform,,,,Integration into existing IT operations,Convincing performance,Available know-how in the company,,,,Product roadmap,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,Range of available functions,,,,500,2,3,2,In one division,Data Warehousing/BI,,,Data Governance,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,,,,,,,,,,,,,Unreliable software,,Lack of maturity/culture in the enterprise,,,,High complexity in operation,,,,Lack of internal know-how,,,,,,,,,,Solution implementation needs workarounds,,,,,Some functions do not work,,,,Excellent,Excellent,Good,Excellent,Excellent,Good,Satisfactory,Satisfactory,Excellent,Good,Good,Excellent,Rather satisfied,Definitely,Half data-based and half based on gut feeling,,,Security & privacy,,Data culture,,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,,,,,,,,,,United Kingdom,Other,Person responsible for BI from IT department,IT,Yes,,1,Europe,United Kingdom & Ireland,Other,251 - 500,100 - 2500,150 - 500,Less than 25,0.4,1 to less than 5%,MS SSIS,Business,Less than 25,Less than 25
Europe,Austria,Less than 150,Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,?,Scalability,Extensibility of the solution,,Innovative strength of the vendor,,,Local presence and quality of support,,Good price-performance ratio,Prebuilt content,,,,,,Convincing performance,,Reusability/metadata-driven development,,,,,Automation of data processes,Connectivity to source and target systems,,Range of available functions,,,,25,5,3,2,In several divisions,Data Warehousing/BI,,,Data Governance,,,,,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,,,,,,,Data Catalog,,,Lack of management support,,,Tool does not scale,Unreliable software,Customization of tool is limited,,,,,,Lack of use cases/quick-win scenarios,Inflexible licensing model,,Lack of internal know-how,,Too complex to use for developers,,,Tool doesn't work with existing IT tools,,,Problems with product updates,,,,Data access is limited,,,,,,,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,Artificial intelligence & machine learning,,Business user enablement,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,,Austria,Consulting,Data engineer/data manager,IT,No,No,1,Europe,DACH,Services,Less than 50,Less than 100,Less than 150,Less than 25,20,15 to less than 20%,Synabi D-QUANTUM,Business,Less than 25,Less than 25
South America,Chile,150 - 500,Services,Did not respond,Snowflake CDP,Snowflake CDP, 6.9.0,Scalability,,Openness,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,Convincing performance,,,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,,,,,,200,10,3,2,For the implementation of a specific use case,Data Warehousing/BI,,,,,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Satisfactory,Satisfactory,Good,Satisfactory,Good,Rather satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,Data culture,Business user enablement,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Strongly increased,Chile,Chile,Healthcare,External consultant,,Yes,,4,South America, ,Services,100 - 250,100 - 2500,150 - 500,Less than 25,5,1 to less than 5%,Snowflake CDP,,Less than 25,Less than 25
South America,Chile,150 - 500,Services,Did not respond,Snowflake CDP,Snowflake CDP, 6.9.0,Scalability,,Openness,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,Convincing performance,,,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,,,,,,200,10,3,2,For the implementation of a specific use case,Data Warehousing/BI,,,,,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Satisfactory,Satisfactory,Good,Satisfactory,Good,Rather satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,Data culture,Business user enablement,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Strongly increased,Chile,Chile,Healthcare,External consultant,,Yes,,4,South America, ,Services,100 - 250,100 - 2500,150 - 500,Less than 25,5,1 to less than 5%,Snowflake CDP,,Less than 25,Less than 25
Europe,Germany,More than 6000,Retail/Wholesale,IT,SAP DWC,SAP DWC,Wave 08,,,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,Good price-performance ratio,,Integrated end-to-end platform,,,,,,,Reusability/metadata-driven development,Integration into enterprise data processes,,Product roadmap,,,,,,,,,7300,30,3,2,In one division,Data Warehousing/BI,,,,,,,,Data Preparation for Business Users,,Cloud Integration,,,,,,,,,,,,,,,,,,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,,"Distributed data, computing & decision-making",,,,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Retail / Wholesale / Trade,IT employee,IT,No,No,1,Europe,DACH,Retail/Wholesale,2501 – 10000,More than 2500,More than 6000,25 - 75,0.410958904,1 to less than 5%,SAP DWC,IT,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Financial Services,Business,SAP DWC,SAP DWC,Version 2022,,Extensibility of the solution,Openness,Innovative strength of the vendor,,,,,,Prebuilt content,Integrated end-to-end platform,,,,,,,,,,Product roadmap,,,,Supported data access methodologies,,,,,2500,100,3,2,Company-wide,Data Warehousing/BI,,,,,,,,Data Preparation for Business Users,,Cloud Integration,,,,Self-Service Analytics,,,,Data Catalog,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Satisfactory,Very satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Strongly increased,,Germany,Insurance,Line of business employee,Finance and controlling,No,No,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,1501 - 6000,76 - 300,4,1 to less than 5%,SAP DWC,Business,Less than 25,Less than 25
Europe,Netherlands,150 - 500,Manufacturing,Business,Other,SAS Viya,3.5,Scalability,Extensibility of the solution,,,,Local presence and good support,Local presence and quality of support,,,,,,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,,,,,,,,,,,,260,160,3,2,Company-wide,,Advanced Analytics/Machine Learning/AI,Data Lake,,Data Storage/Data Provisioning,Query Engine,,Data Integration,,Data Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Excellent,Good,Good,Excellent,Good,Good,Excellent,Excellent,Satisfactory,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,,,,Artificial intelligence & machine learning,,,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,,Netherlands,Manufacturing,CIO/IT management,IT,Yes,,1,Europe,BeNeLux,Manufacturing,251 - 500,100 - 2500,150 - 500,76 - 300,61.53846154,50 to less than 75%,Other,Business,Less than 25,Less than 25
Europe,Spain,1501 - 6000,Manufacturing,Business,SAP BW/4HANA,SAP BW/4HANA,7.5,Scalability,,,,,,,,,,Integrated end-to-end platform,,,,,Convincing performance,,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,3500,400,3,2,Company-wide,Data Warehousing/BI,,,,,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,Data Stewardship/Data Quality Management,,,,,,,,,,,,,,,,,,,,,Inflexible licensing model,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Excellent,Good,Good,Good,Good,Poor,Good,Good,Satisfactory,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,Data culture,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,,Spain,Process industry,Person responsible for BI from IT department,IT,Yes,,1,Europe,Southern Europe,Manufacturing,2501 – 10000,More than 2500,1501 - 6000,More than 300,11.42857143,10 to less than 15%,SAP BW/4HANA,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Manufacturing,Did not respond,Exasol,Exasol,7.0.17,Scalability,,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,Local presence and good support,Local presence and quality of support,,Good price-performance ratio,,,,Ease of use for technical users,Disaster recovery concepts,Integration into existing IT operations,Convincing performance,,Reusability/metadata-driven development,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,,,,,4000,800,3,2,Company-wide,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,,,,Data Preparation for Business Users,,,,,,,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Purely data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,Business user enablement,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,,Germany,Process industry,Business analyst,Dedicated BI and analytics unit,Yes,Yes,1,Europe,DACH,Manufacturing,2501 – 10000,More than 2500,1501 - 6000,More than 300,20,15 to less than 20%,Exasol,,Less than 25,Less than 25
Europe,Germany,150 - 500,Services,Did not respond,Synabi D-QUANTUM,Synabi D-QUANTUM,V 4.x,Scalability,Extensibility of the solution,Openness,,,Local presence and good support,Local presence and quality of support,"Flexible, good licensing model/price",Good price-performance ratio,Prebuilt content,,Ease of use for business users,,,,Convincing performance,,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,300,20,4,2,In several divisions,,,,Data Governance,,,,,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,,,,A Holistic Data Platform,,Data Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Germany,Germany,Services,Member of cross-functional BI/analytics team,,Yes,Yes,1,Europe,DACH,Services,251 - 500,100 - 2500,150 - 500,Less than 25,6.666666667,5 to less than 10%,Synabi D-QUANTUM,,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Did not respond,SAP BW/4HANA,SAP BW/4HANA,im Moment noch SAP BW on Hana 7.5,Scalability,Extensibility of the solution,,,,,,,,Prebuilt content,,,,,Integration into existing IT operations,,Available know-how in the company,,Integration into enterprise data processes,,,,Automation of data processes,,,Range of available functions,Quality of functions,,,154000,100,4,2,In several divisions,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,,,,Self-Service Analytics,Data Discovery,,,,,,,Lack of resources/budget,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Satisfactory,Good,Excellent,Good,Excellent,Good,Good,Don't know / not available,Good,Excellent,Good,Excellent,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,,Stayed the same,Strongly increased,Strongly increased,Stayed the same,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Stayed the same,,Germany,Manufacturing,Business analyst,Finance and controlling,Yes,,1,Europe,DACH,Manufacturing,More than 100000,More than 2500,More than 6000,76 - 300,0.064935065,1 to less than 5%,SAP BW/4HANA,,Less than 25,Less than 25
