Peer,vendor,KPI,value,,,
Cloud Data Warehousing,Google BigQuery,Product Enhancement,8.445945946,,,
Cloud Data Warehousing,MS Azure Synapse,Product Enhancement,7.158301158,,,
Cloud Data Warehousing,SAP DWC,Product Enhancement,9.8744551,,,
Cloud Data Warehousing,Snowflake CDP,Product Enhancement,7.158301158,,,
Cloud Data Warehousing,Peer Group Average,Product Enhancement,8.451724997,,,
Cloud Data Warehousing,Amazon RedShift,Automation,5.291086351,,,
Cloud Data Warehousing,Google BigQuery,Automation,9.038997214,,,
Cloud Data Warehousing,MS Azure Synapse,Automation,6.18344608,,,
Cloud Data Warehousing,SAP DWC,Automation,6.454231102,,,
Cloud Data Warehousing,Snowflake CDP,Automation,4.398726622,,,
Cloud Data Warehousing,Peer Group Average,Automation,6.273297474,,,
Cloud Data Warehousing,Amazon RedShift,Innovation,7.456353986,,,
Cloud Data Warehousing,Google BigQuery,Innovation,8.74247158,,,
Cloud Data Warehousing,MS Azure Synapse,Innovation,6.670873619,,,
Cloud Data Warehousing,SAP DWC,Innovation,8.164343101,,,
Cloud Data Warehousing,Snowflake CDP,Innovation,5.77851389,,,
Cloud Data Warehousing,Peer Group Average,Innovation,7.362511235,,,
Cloud Data Warehousing,Amazon RedShift,Connectivity,7.50533049,,,
Cloud Data Warehousing,Google BigQuery,Connectivity,5.48024583,,,
Cloud Data Warehousing,MS Azure Synapse,Connectivity,7.291501675,,,
Cloud Data Warehousing,SAP DWC,Connectivity,8.464219083,,,
Cloud Data Warehousing,Snowflake CDP,Connectivity,7.411780384,,,
Cloud Data Warehousing,Peer Group Average,Connectivity,7.230615492,,,
Cloud Data Warehousing,Amazon RedShift,Functionality,6.777777778,,,
Cloud Data Warehousing,Google BigQuery,Functionality,5.078431373,,,
Cloud Data Warehousing,MS Azure Synapse,Functionality,2.80952381,,,
Cloud Data Warehousing,SAP DWC,Functionality,4.416666667,,,
Cloud Data Warehousing,Snowflake CDP,Functionality,3.791666667,,,
Cloud Data Warehousing,Peer Group Average,Functionality,4.574813259,,,
Cloud Data Warehousing,Amazon RedShift,Adaptability,5.548913043,,,
Cloud Data Warehousing,Google BigQuery,Adaptability,7.089673913,,,
Cloud Data Warehousing,MS Azure Synapse,Adaptability,7.60326087,,,
Cloud Data Warehousing,SAP DWC,Adaptability,8.245244565,,,
Cloud Data Warehousing,Snowflake CDP,Adaptability,8.537055336,,,
Cloud Data Warehousing,Peer Group Average,Adaptability,7.404829545,,,
Cloud Data Warehousing,Amazon RedShift,Technical Capability,6.610673771,,,
Cloud Data Warehousing,Google BigQuery,Technical Capability,5.882783705,,,
Cloud Data Warehousing,MS Azure Synapse,Technical Capability,5.901428785,,,
Cloud Data Warehousing,SAP DWC,Technical Capability,7.042043438,,,
Cloud Data Warehousing,Snowflake CDP,Technical Capability,6.580167462,,,
Cloud Data Warehousing,Peer Group Average,Technical Capability,6.403419432,,,
Data Access Engines,Amazon RedShift,Price to Value,7.700729927,,,
Data Access Engines,Exasol,Price to Value,9.141747116,,,
Data Access Engines,Google BigQuery,Price to Value,10,,,
Data Access Engines,MS Azure Synapse,Price to Value,8.817518248,,,
Data Access Engines,MS SQL Server,Price to Value,7.732456868,,,
Data Access Engines,Oracle Database,Price to Value,2.451824818,,,
Data Access Engines,SAP BW/4HANA,Price to Value,4.270594369,,,
Data Access Engines,SAP DWC,Price to Value,8.044357103,,,
Data Access Engines,Snowflake CDP,Price to Value,9.131614964,,,
Data Access Engines,Peer Group Average,Price to Value,7.476760379,,,
Data Access Engines,Amazon RedShift,Time to Market,5.842180775,,,
Data Access Engines,Exasol,Time to Market,8.644189383,,,
Data Access Engines,Google BigQuery,Time to Market,6.905561651,,,
Data Access Engines,MS Azure Synapse,Time to Market,6.164992826,,,
Data Access Engines,MS SQL Server,Time to Market,4.82921882,,,
Data Access Engines,Oracle Database,Time to Market,2.136298422,,,
Data Access Engines,SAP BW/4HANA,Time to Market,5.106469587,,,
Data Access Engines,SAP DWC,Time to Market,9.909612626,,,
Data Access Engines,Snowflake CDP,Time to Market,9.005738881,,,
Data Access Engines,Peer Group Average,Time to Market,6.504918108,,,
Data Access Engines,Amazon RedShift,Recommendation,1.4,,,
Data Access Engines,Exasol,Recommendation,5.581818182,,,
Data Access Engines,Google BigQuery,Recommendation,4.811764706,,,
Data Access Engines,MS Azure Synapse,Recommendation,2.542857143,,,
Data Access Engines,MS SQL Server,Recommendation,2.039175258,,,
Data Access Engines,Oracle Database,Recommendation,1.9,,,
Data Access Engines,SAP BW/4HANA,Recommendation,1.8,,,
Data Access Engines,SAP DWC,Recommendation,3.945454545,,,
Data Access Engines,Snowflake CDP,Recommendation,8.65,,,
Data Access Engines,Peer Group Average,Recommendation,3.63011887,,,
Data Access Engines,Amazon RedShift,Product Satisfaction,3.934782609,,,
Data Access Engines,Exasol,Product Satisfaction,7.84041502,,,
Data Access Engines,Google BigQuery,Product Satisfaction,6.04076087,,,
Data Access Engines,MS Azure Synapse,Product Satisfaction,7.184006211,,,
Data Access Engines,MS SQL Server,Product Satisfaction,4.012145075,,,
Data Access Engines,Oracle Database,Product Satisfaction,3.4609375,,,
Data Access Engines,SAP BW/4HANA,Product Satisfaction,4.10326087,,,
Data Access Engines,SAP DWC,Product Satisfaction,4.394268775,,,
Data Access Engines,Snowflake CDP,Product Satisfaction,9.147078804,,,
Data Access Engines,Peer Group Average,Product Satisfaction,5.568628415,,,
Data Access Engines,Amazon RedShift,Support Quality,5.655172414,,,
Data Access Engines,Exasol,Support Quality,7.132214641,,,
Data Access Engines,Google BigQuery,Support Quality,1,,,
Data Access Engines,MS Azure Synapse,Support Quality,4.742393509,,,
Data Access Engines,MS SQL Server,Support Quality,2.989858012,,,
Data Access Engines,Oracle Database,Support Quality,4.481599536,,,
Data Access Engines,SAP BW/4HANA,Support Quality,4.279325187,,,
Data Access Engines,SAP DWC,Support Quality,5.929006085,,,
Data Access Engines,Snowflake CDP,Support Quality,5.618661258,,,
Data Access Engines,Peer Group Average,Support Quality,4.647581182,,,
Data Access Engines,Amazon RedShift,Customer Satisfaction,4.481055903,,,
Data Access Engines,Exasol,Customer Satisfaction,7.513037222,,,
Data Access Engines,Google BigQuery,Customer Satisfaction,6.132793916,,,
Data Access Engines,MS Azure Synapse,Customer Satisfaction,5.670399951,,,
Data Access Engines,MS SQL Server,Customer Satisfaction,4.225502531,,,
Data Access Engines,Oracle Database,Customer Satisfaction,2.627972102,,,
Data Access Engines,SAP BW/4HANA,Customer Satisfaction,3.663997484,,,
Data Access Engines,SAP DWC,Customer Satisfaction,6.246184673,,,
Data Access Engines,Snowflake CDP,Customer Satisfaction,8.613752656,,,
Data Access Engines,Peer Group Average,Customer Satisfaction,5.46385516,,,
Data Access Engines,Amazon RedShift,Performance,1.178060413,,,
Data Access Engines,Exasol,Performance,9.778219396,,,
Data Access Engines,Google BigQuery,Performance,5.515103339,,,
Data Access Engines,MS Azure Synapse,Performance,5.120826709,,,
Data Access Engines,MS SQL Server,Performance,3.790143084,,,
Data Access Engines,Oracle Database,Performance,4.899046105,,,
Data Access Engines,SAP BW/4HANA,Performance,4.963116057,,,
Data Access Engines,SAP DWC,Performance,3.124801272,,,
Data Access Engines,Snowflake CDP,Performance,10,,,
Data Access Engines,Peer Group Average,Performance,5.374368486,,,
Data Access Engines,Amazon RedShift,Platform Reliability,7.732954545,,,
Data Access Engines,Exasol,Platform Reliability,9.902376033,,,
Data Access Engines,Google BigQuery,Platform Reliability,8.926136364,,,
Data Access Engines,MS Azure Synapse,Platform Reliability,1,,,
Data Access Engines,MS SQL Server,Platform Reliability,7.30415483,,,
Data Access Engines,Oracle Database,Platform Reliability,9.149857955,,,
Data Access Engines,SAP BW/4HANA,Platform Reliability,8.210227273,,,
Data Access Engines,SAP DWC,Platform Reliability,5.122869318,,,
Data Access Engines,Snowflake CDP,Platform Reliability,9.821022727,,,
Data Access Engines,Peer Group Average,Platform Reliability,7.463288783,,,
Data Access Engines,Amazon RedShift,Development Efficiency,8.899483134,,,
Data Access Engines,Exasol,Development Efficiency,7.592210424,,,
Data Access Engines,Google BigQuery,Development Efficiency,4.981821673,,,
Data Access Engines,MS Azure Synapse,Development Efficiency,2.410228509,,,
Data Access Engines,MS SQL Server,Development Efficiency,4.927644851,,,
Data Access Engines,Oracle Database,Development Efficiency,5.495103373,,,
Data Access Engines,SAP BW/4HANA,Development Efficiency,5.639331289,,,
Data Access Engines,SAP DWC,Development Efficiency,5.639331289,,,
Data Access Engines,Snowflake CDP,Development Efficiency,7.328400435,,,
Data Access Engines,Peer Group Average,Development Efficiency,5.879283886,,,
Data Access Engines,Amazon RedShift,Usability,8.744565217,,,
Data Access Engines,Exasol,Usability,8.311656672,,,
Data Access Engines,Google BigQuery,Usability,4.75,,,
Data Access Engines,MS Azure Synapse,Usability,1,,,
Data Access Engines,MS SQL Server,Usability,6.067794711,,,
Data Access Engines,Oracle Database,Usability,5.677309783,,,
Data Access Engines,SAP BW/4HANA,Usability,4.407608696,,,
Data Access Engines,SAP DWC,Usability,8.381422925,,,
Data Access Engines,Snowflake CDP,Usability,8.288043478,,,
Data Access Engines,Peer Group Average,Usability,6.180933498,,,
Data Access Engines,Amazon RedShift,Customer Experience,6.482453154,,,
Data Access Engines,Exasol,Customer Experience,8.752364145,,,
Data Access Engines,Google BigQuery,Customer Experience,5.631426627,,,
Data Access Engines,MS Azure Synapse,Customer Experience,2.580301491,,,
Data Access Engines,MS SQL Server,Customer Experience,5.267902875,,,
Data Access Engines,Oracle Database,Customer Experience,5.898968068,,,
Data Access Engines,SAP BW/4HANA,Customer Experience,5.461477051,,,
Data Access Engines,SAP DWC,Customer Experience,5.630568613,,,
Data Access Engines,Snowflake CDP,Customer Experience,8.721987222,,,
Data Access Engines,Peer Group Average,Customer Experience,6.047494361,,,
Data Access Engines,Amazon RedShift,Product Enhancement,9.621621622,,,
Data Access Engines,Exasol,Product Enhancement,5.545945946,,,
Data Access Engines,Google BigQuery,Product Enhancement,8.445945946,,,
Data Access Engines,MS Azure Synapse,Product Enhancement,7.158301158,,,
Data Access Engines,MS SQL Server,Product Enhancement,4.70990991,,,
Data Access Engines,Oracle Database,Product Enhancement,3.246846847,,,
Data Access Engines,SAP BW/4HANA,Product Enhancement,4.918918919,,,
Data Access Engines,SAP DWC,Product Enhancement,9.8744551,,,
Data Access Engines,Snowflake CDP,Product Enhancement,7.158301158,,,
Data Access Engines,Peer Group Average,Product Enhancement,6.742249623,,,
Data Access Engines,Amazon RedShift,Automation,5.291086351,,,
Data Access Engines,Exasol,Automation,9.626904801,,,
Data Access Engines,Google BigQuery,Automation,9.038997214,,,
Data Access Engines,MS Azure Synapse,Automation,6.18344608,,,
Data Access Engines,MS SQL Server,Automation,6.811323288,,,
Data Access Engines,Oracle Database,Automation,5.194986072,,,
Data Access Engines,SAP BW/4HANA,Automation,4.791364903,,,
Data Access Engines,SAP DWC,Automation,6.454231102,,,
Data Access Engines,Snowflake CDP,Automation,4.398726622,,,
Data Access Engines,Peer Group Average,Automation,6.421229604,,,
Data Access Engines,Amazon RedShift,Innovation,7.456353986,,,
Data Access Engines,Exasol,Innovation,7.586425373,,,
Data Access Engines,Google BigQuery,Innovation,8.74247158,,,
Data Access Engines,MS Azure Synapse,Innovation,6.670873619,,,
Data Access Engines,MS SQL Server,Innovation,5.760616599,,,
Data Access Engines,Oracle Database,Innovation,4.22091646,,,
Data Access Engines,SAP BW/4HANA,Innovation,4.855141911,,,
Data Access Engines,SAP DWC,Innovation,8.164343101,,,
Data Access Engines,Snowflake CDP,Innovation,5.77851389,,,
Data Access Engines,Peer Group Average,Innovation,6.581739613,,,
Data Access Engines,Amazon RedShift,Connectivity,7.50533049,,,
Data Access Engines,Exasol,Connectivity,7.819176009,,,
Data Access Engines,Google BigQuery,Connectivity,5.48024583,,,
Data Access Engines,MS Azure Synapse,Connectivity,7.291501675,,,
Data Access Engines,MS SQL Server,Connectivity,7.384620675,,,
Data Access Engines,Oracle Database,Connectivity,8.478251599,,,
Data Access Engines,SAP BW/4HANA,Connectivity,5.858848614,,,
Data Access Engines,SAP DWC,Connectivity,8.464219083,,,
Data Access Engines,Snowflake CDP,Connectivity,7.411780384,,,
Data Access Engines,Peer Group Average,Connectivity,7.299330484,,,
Data Access Engines,Amazon RedShift,Functionality,6.777777778,,,
Data Access Engines,Exasol,Functionality,8.569892473,,,
Data Access Engines,Google BigQuery,Functionality,5.078431373,,,
Data Access Engines,MS Azure Synapse,Functionality,2.80952381,,,
Data Access Engines,MS SQL Server,Functionality,3.583333333,,,
Data Access Engines,Oracle Database,Functionality,5.354166667,,,
Data Access Engines,SAP BW/4HANA,Functionality,5.222222222,,,
Data Access Engines,SAP DWC,Functionality,4.416666667,,,
Data Access Engines,Snowflake CDP,Functionality,3.791666667,,,
Data Access Engines,Peer Group Average,Functionality,5.067075665,,,
Data Access Engines,Amazon RedShift,Adaptability,5.548913043,,,
Data Access Engines,Exasol,Adaptability,7.970108696,,,
Data Access Engines,Google BigQuery,Adaptability,7.089673913,,,
Data Access Engines,MS Azure Synapse,Adaptability,7.60326087,,,
Data Access Engines,MS SQL Server,Adaptability,6.119565217,,,
Data Access Engines,Oracle Database,Adaptability,7.062643021,,,
Data Access Engines,SAP BW/4HANA,Adaptability,6.319293478,,,
Data Access Engines,SAP DWC,Adaptability,8.245244565,,,
Data Access Engines,Snowflake CDP,Adaptability,8.537055336,,,
Data Access Engines,Peer Group Average,Adaptability,7.166195349,,,
Data Access Engines,Amazon RedShift,Technical Capability,6.610673771,,,
Data Access Engines,Exasol,Technical Capability,8.119725726,,,
Data Access Engines,Google BigQuery,Technical Capability,5.882783705,,,
Data Access Engines,MS Azure Synapse,Technical Capability,5.901428785,,,
Data Access Engines,MS SQL Server,Technical Capability,5.695839742,,,
Data Access Engines,Oracle Database,Technical Capability,6.965020429,,,
Data Access Engines,SAP BW/4HANA,Technical Capability,5.800121438,,,
Data Access Engines,SAP DWC,Technical Capability,7.042043438,,,
Data Access Engines,Snowflake CDP,Technical Capability,6.580167462,,,
Data Access Engines,Peer Group Average,Technical Capability,6.510867166,,,
Data Governance Products,Alation Data Catalog,Price to Value,7.886861314,,,
Data Governance Products,Collibra DI Cloud,Price to Value,5.601167883,,,
Data Governance Products,dataspot.,Price to Value,9.655109489,,,
Data Governance Products,Informatica EDC,Price to Value,5.467153285,,,
Data Governance Products,Qlik Data Integration,Price to Value,8.259124088,,,
Data Governance Products,SAP DI,Price to Value,6.304744526,,,
Data Governance Products,Synabi D-QUANTUM,Price to Value,8.665228932,,,
Data Governance Products,Peer Group Average,Price to Value,7.405627074,,,
Data Governance Products,Alation Data Catalog,Time to Market,6.972022956,,,
Data Governance Products,Collibra DI Cloud,Time to Market,1,,,
Data Governance Products,dataspot.,Time to Market,10,,,
Data Governance Products,Informatica EDC,Time to Market,5.136029412,,,
Data Governance Products,Qlik Data Integration,Time to Market,7.348637016,,,
Data Governance Products,SAP DI,Time to Market,6.746054519,,,
Data Governance Products,Synabi D-QUANTUM,Time to Market,7.599713056,,,
Data Governance Products,Peer Group Average,Time to Market,6.400350994,,,
Data Governance Products,Alation Data Catalog,Recommendation,8.8,,,
Data Governance Products,Collibra DI Cloud,Recommendation,3.4,,,
Data Governance Products,dataspot.,Recommendation,10,,,
Data Governance Products,Informatica EDC,Recommendation,3.025,,,
Data Governance Products,Qlik Data Integration,Recommendation,1.4,,,
Data Governance Products,SAP DI,Recommendation,1,,,
Data Governance Products,Synabi D-QUANTUM,Recommendation,5.452631579,,,
Data Governance Products,Peer Group Average,Recommendation,4.72537594,,,
Data Governance Products,Alation Data Catalog,Product Satisfaction,6.135869565,,,
Data Governance Products,Collibra DI Cloud,Product Satisfaction,1.969202899,,,
Data Governance Products,dataspot.,Product Satisfaction,10,,,
Data Governance Products,Informatica EDC,Product Satisfaction,1.249660326,,,
Data Governance Products,Qlik Data Integration,Product Satisfaction,3.092391304,,,
Data Governance Products,SAP DI,Product Satisfaction,1.227096273,,,
Data Governance Products,Synabi D-QUANTUM,Product Satisfaction,6.656354515,,,
Data Governance Products,Peer Group Average,Product Satisfaction,4.332939269,,,
Data Governance Products,Alation Data Catalog,Support Quality,5.180527383,,,
Data Governance Products,Collibra DI Cloud,Support Quality,6.034326728,,,
Data Governance Products,dataspot.,Support Quality,10,,,
Data Governance Products,Informatica EDC,Support Quality,4.012170385,,,
Data Governance Products,Qlik Data Integration,Support Quality,1.334685598,,,
Data Governance Products,SAP DI,Support Quality,2.113590264,,,
Data Governance Products,Synabi D-QUANTUM,Support Quality,8.739404292,,,
Data Governance Products,Peer Group Average,Support Quality,5.344957807,,,
Data Governance Products,Alation Data Catalog,Customer Satisfaction,7.357003505,,,
Data Governance Products,Collibra DI Cloud,Customer Satisfaction,3.337506829,,,
Data Governance Products,dataspot.,Customer Satisfaction,9.931021898,,,
Data Governance Products,Informatica EDC,Customer Satisfaction,3.679285643,,,
Data Governance Products,Qlik Data Integration,Customer Satisfaction,4.293499041,,,
Data Governance Products,SAP DI,Customer Satisfaction,3.36693809,,,
Data Governance Products,Synabi D-QUANTUM,Customer Satisfaction,7.093989203,,,
Data Governance Products,Peer Group Average,Customer Satisfaction,5.57989203,,,
Data Governance Products,Alation Data Catalog,Performance,4.411128776,,,
Data Governance Products,Collibra DI Cloud,Performance,3.806571277,,,
Data Governance Products,dataspot.,Performance,8.432750397,,,
Data Governance Products,Informatica EDC,Performance,4.106972519,,,
Data Governance Products,Qlik Data Integration,Performance,4.33227345,,,
Data Governance Products,SAP DI,Performance,2.391219274,,,
Data Governance Products,Synabi D-QUANTUM,Performance,3.813488411,,,
Data Governance Products,Peer Group Average,Performance,4.470629158,,,
Data Governance Products,Alation Data Catalog,Platform Reliability,6.957386364,,,
Data Governance Products,Collibra DI Cloud,Platform Reliability,8.130681818,,,
Data Governance Products,dataspot.,Platform Reliability,10,,,
Data Governance Products,Informatica EDC,Platform Reliability,3.914772727,,,
Data Governance Products,Qlik Data Integration,Platform Reliability,7.732954545,,,
Data Governance Products,SAP DI,Platform Reliability,5.21875,,,
Data Governance Products,Synabi D-QUANTUM,Platform Reliability,8.266746411,,,
Data Governance Products,Peer Group Average,Platform Reliability,7.174470267,,,
Data Governance Products,Alation Data Catalog,Development Efficiency,7.289367325,,,
Data Governance Products,Collibra DI Cloud,Development Efficiency,4.596082699,,,
Data Governance Products,dataspot.,Development Efficiency,10,,,
Data Governance Products,Informatica EDC,Development Efficiency,8.557943417,,,
Data Governance Products,Qlik Data Integration,Development Efficiency,6.964091404,,,
Data Governance Products,SAP DI,Development Efficiency,3.19089072,,,
Data Governance Products,Synabi D-QUANTUM,Development Efficiency,7.653324707,,,
Data Governance Products,Peer Group Average,Development Efficiency,6.893100039,,,
Data Governance Products,Alation Data Catalog,Usability,6.940568022,,,
Data Governance Products,Collibra DI Cloud,Usability,3.22826087,,,
Data Governance Products,dataspot.,Usability,10,,,
Data Governance Products,Informatica EDC,Usability,5.356317935,,,
Data Governance Products,Qlik Data Integration,Usability,5.891304348,,,
Data Governance Products,SAP DI,Usability,6.576086957,,,
Data Governance Products,Synabi D-QUANTUM,Usability,7.738415332,,,
Data Governance Products,Peer Group Average,Usability,6.532993352,,,
Data Governance Products,Alation Data Catalog,Customer Experience,6.319930659,,,
Data Governance Products,Collibra DI Cloud,Customer Experience,4.484644501,,,
Data Governance Products,dataspot.,Customer Experience,9.552214399,,,
Data Governance Products,Informatica EDC,Customer Experience,5.70817721,,,
Data Governance Products,Qlik Data Integration,Customer Experience,6.015470421,,,
Data Governance Products,SAP DI,Customer Experience,4.219306271,,,
Data Governance Products,Synabi D-QUANTUM,Customer Experience,6.668171901,,,
Data Governance Products,Peer Group Average,Customer Experience,6.138273623,,,
Data Governance Products,Alation Data Catalog,Product Enhancement,8.863121186,,,
Data Governance Products,Collibra DI Cloud,Product Enhancement,4.570570571,,,
Data Governance Products,dataspot.,Product Enhancement,10,,,
Data Governance Products,Informatica EDC,Product Enhancement,6.71042471,,,
Data Governance Products,Qlik Data Integration,Product Enhancement,6.660660661,,,
Data Governance Products,SAP DI,Product Enhancement,4.396396396,,,
Data Governance Products,Synabi D-QUANTUM,Product Enhancement,6.698319942,,,
Data Governance Products,Peer Group Average,Product Enhancement,6.842784781,,,
Data Governance Products,Alation Data Catalog,Automation,7.116991643,,,
Data Governance Products,Collibra DI Cloud,Automation,1,,,
Data Governance Products,dataspot.,Automation,7.539832869,,,
Data Governance Products,Informatica EDC,Automation,5.963788301,,,
Data Governance Products,Qlik Data Integration,Automation,9.038997214,,,
Data Governance Products,SAP DI,Automation,7.116991643,,,
Data Governance Products,Synabi D-QUANTUM,Automation,6.94339114,,,
Data Governance Products,Peer Group Average,Automation,6.388570402,,,
Data Governance Products,Alation Data Catalog,Innovation,7.990056415,,,
Data Governance Products,Collibra DI Cloud,Innovation,2.785285285,,,
Data Governance Products,dataspot.,Innovation,8.769916435,,,
Data Governance Products,Informatica EDC,Innovation,6.337106506,,,
Data Governance Products,Qlik Data Integration,Innovation,7.849828938,,,
Data Governance Products,SAP DI,Innovation,5.75669402,,,
Data Governance Products,Synabi D-QUANTUM,Innovation,6.820855541,,,
Data Governance Products,Peer Group Average,Innovation,6.615677591,,,
Data Governance Products,Alation Data Catalog,Connectivity,7.601898342,,,
Data Governance Products,Collibra DI Cloud,Connectivity,1,,,
Data Governance Products,dataspot.,Connectivity,6.789468805,,,
Data Governance Products,Informatica EDC,Connectivity,8.253731343,,,
Data Governance Products,Qlik Data Integration,Connectivity,8.253731343,,,
Data Governance Products,SAP DI,Connectivity,6.906609808,,,
Data Governance Products,Synabi D-QUANTUM,Connectivity,6.979427188,,,
Data Governance Products,Peer Group Average,Connectivity,6.540695261,,,
Data Governance Products,Alation Data Catalog,Functionality,6.956989247,,,
Data Governance Products,Collibra DI Cloud,Functionality,1.435897436,,,
Data Governance Products,dataspot.,Functionality,10,,,
Data Governance Products,Informatica EDC,Functionality,7.541666667,,,
Data Governance Products,Qlik Data Integration,Functionality,3.444444444,,,
Data Governance Products,SAP DI,Functionality,1,,,
Data Governance Products,Synabi D-QUANTUM,Functionality,5.666666667,,,
Data Governance Products,Peer Group Average,Functionality,5.149380637,,,
Data Governance Products,Alation Data Catalog,Adaptability,4.52173913,,,
Data Governance Products,Collibra DI Cloud,Adaptability,5.035326087,,,
Data Governance Products,dataspot.,Adaptability,7.998327759,,,
Data Governance Products,Informatica EDC,Adaptability,4.179347826,,,
Data Governance Products,Qlik Data Integration,Adaptability,7.032608696,,,
Data Governance Products,SAP DI,Adaptability,4.864130435,,,
Data Governance Products,Synabi D-QUANTUM,Adaptability,8.158490012,,,
Data Governance Products,Peer Group Average,Adaptability,5.969995706,,,
Data Governance Products,Alation Data Catalog,Technical Capability,6.360208907,,,
Data Governance Products,Collibra DI Cloud,Technical Capability,2.490407841,,,
Data Governance Products,dataspot.,Technical Capability,8.262598855,,,
Data Governance Products,Informatica EDC,Technical Capability,6.658248612,,,
Data Governance Products,Qlik Data Integration,Technical Capability,6.243594828,,,
Data Governance Products,SAP DI,Technical Capability,4.256913414,,,
Data Governance Products,Synabi D-QUANTUM,Technical Capability,6.934861289,,,
Data Governance Products,Peer Group Average,Technical Capability,5.886690535,,,
Data Intelligence Platforms,Alation Data Catalog,Price to Value,7.886861314,,,
Data Intelligence Platforms,Collibra DI Cloud,Price to Value,5.601167883,,,
Data Intelligence Platforms,Informatica EDC,Price to Value,5.467153285,,,
Data Intelligence Platforms,Qlik Data Integration,Price to Value,8.259124088,,,
Data Intelligence Platforms,SAP DI,Price to Value,6.304744526,,,
Data Intelligence Platforms,Peer Group Average,Price to Value,6.703810219,,,
Data Intelligence Platforms,Alation Data Catalog,Time to Market,6.972022956,,,
Data Intelligence Platforms,Collibra DI Cloud,Time to Market,1,,,
Data Intelligence Platforms,Informatica EDC,Time to Market,5.136029412,,,
Data Intelligence Platforms,Qlik Data Integration,Time to Market,7.348637016,,,
Data Intelligence Platforms,SAP DI,Time to Market,6.746054519,,,
Data Intelligence Platforms,Peer Group Average,Time to Market,5.44054878,,,
Data Intelligence Platforms,Alation Data Catalog,Recommendation,8.8,,,
Data Intelligence Platforms,Collibra DI Cloud,Recommendation,3.4,,,
Data Intelligence Platforms,Informatica EDC,Recommendation,3.025,,,
Data Intelligence Platforms,Qlik Data Integration,Recommendation,1.4,,,
Data Intelligence Platforms,SAP DI,Recommendation,1,,,
Data Intelligence Platforms,Peer Group Average,Recommendation,3.525,,,
Data Intelligence Platforms,Alation Data Catalog,Product Satisfaction,6.135869565,,,
Data Intelligence Platforms,Collibra DI Cloud,Product Satisfaction,1.969202899,,,
Data Intelligence Platforms,Informatica EDC,Product Satisfaction,1.249660326,,,
Data Intelligence Platforms,Qlik Data Integration,Product Satisfaction,3.092391304,,,
Data Intelligence Platforms,SAP DI,Product Satisfaction,1.227096273,,,
Data Intelligence Platforms,Peer Group Average,Product Satisfaction,2.734844073,,,
Data Intelligence Platforms,Alation Data Catalog,Support Quality,5.180527383,,,
Data Intelligence Platforms,Collibra DI Cloud,Support Quality,6.034326728,,,
Data Intelligence Platforms,Informatica EDC,Support Quality,4.012170385,,,
Data Intelligence Platforms,Qlik Data Integration,Support Quality,1.334685598,,,
Data Intelligence Platforms,SAP DI,Support Quality,2.113590264,,,
Data Intelligence Platforms,Peer Group Average,Support Quality,3.735060072,,,
Data Intelligence Platforms,Alation Data Catalog,Customer Satisfaction,7.357003505,,,
Data Intelligence Platforms,Collibra DI Cloud,Customer Satisfaction,3.337506829,,,
Data Intelligence Platforms,Informatica EDC,Customer Satisfaction,3.679285643,,,
Data Intelligence Platforms,Qlik Data Integration,Customer Satisfaction,4.293499041,,,
Data Intelligence Platforms,SAP DI,Customer Satisfaction,3.36693809,,,
Data Intelligence Platforms,Peer Group Average,Customer Satisfaction,4.406846622,,,
Data Intelligence Platforms,Alation Data Catalog,Performance,4.411128776,,,
Data Intelligence Platforms,Collibra DI Cloud,Performance,3.806571277,,,
Data Intelligence Platforms,Informatica EDC,Performance,4.106972519,,,
Data Intelligence Platforms,Qlik Data Integration,Performance,4.33227345,,,
Data Intelligence Platforms,SAP DI,Performance,2.391219274,,,
Data Intelligence Platforms,Peer Group Average,Performance,3.809633059,,,
Data Intelligence Platforms,Alation Data Catalog,Platform Reliability,6.957386364,,,
Data Intelligence Platforms,Collibra DI Cloud,Platform Reliability,8.130681818,,,
Data Intelligence Platforms,Informatica EDC,Platform Reliability,3.914772727,,,
Data Intelligence Platforms,Qlik Data Integration,Platform Reliability,7.732954545,,,
Data Intelligence Platforms,SAP DI,Platform Reliability,5.21875,,,
Data Intelligence Platforms,Peer Group Average,Platform Reliability,6.390909091,,,
Data Intelligence Platforms,Alation Data Catalog,Development Efficiency,7.289367325,,,
Data Intelligence Platforms,Collibra DI Cloud,Development Efficiency,4.596082699,,,
Data Intelligence Platforms,Informatica EDC,Development Efficiency,8.557943417,,,
Data Intelligence Platforms,Qlik Data Integration,Development Efficiency,6.964091404,,,
Data Intelligence Platforms,SAP DI,Development Efficiency,3.19089072,,,
Data Intelligence Platforms,Peer Group Average,Development Efficiency,6.119675113,,,
Data Intelligence Platforms,Alation Data Catalog,Usability,6.940568022,,,
Data Intelligence Platforms,Collibra DI Cloud,Usability,3.22826087,,,
Data Intelligence Platforms,Informatica EDC,Usability,5.356317935,,,
Data Intelligence Platforms,Qlik Data Integration,Usability,5.891304348,,,
Data Intelligence Platforms,SAP DI,Usability,6.576086957,,,
Data Intelligence Platforms,Peer Group Average,Usability,5.598507626,,,
Data Intelligence Platforms,Alation Data Catalog,Customer Experience,6.319930659,,,
Data Intelligence Platforms,Collibra DI Cloud,Customer Experience,4.484644501,,,
