Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_27211,Q_28211,Q_29211,Q_30211,Q_31211,Q_12211,Q_13211,Q_15211,Q_18211,Q_19211,Q_23211,Q_32_1211,Q_33_1211,Q_24211,Q_34211,Q_35211,Q_26211,Q_36211,Q_28_999211,Q_58214,Q_51214,Q_59214,Q_46214,Q_60214,Q_884214,Q_61214,Q_40214,Q_41214,Q_42214,Q_62214,Q_45214,Q_43214,Q_44214,Q_65214,Q_66214,Q_54214,Q_67214,Q_56_999214,Q_101_1215,Q_84215,Q_85215,Q_86215,Q_87215,Q_102_1215,Q_88215,Q_89215,Q_90215,Q_91215,Q_93215,Q_94215,Q_95215,Q_96215,Q_103_1215,Q_104_1215,Q_105_1215,Q_97215,Q_98_999215,Q_101218,Q_112_1219,Q_104223,Q_105221,Q_103217,Q_113_1224,Q_114220,Q_115222,Q_116225,Q_886216,Q_887226,Q_111213,Q_112212,Q_906230,Q_907230,Q_908230,Q_909230,Q_910230,Q_911230,Q_912230,Q_913230,Q_904230,Q_914231,Q_920234,Q_921234,Q_922234,Q_923234,Q_924234,Q_925234,Q_926234,Q_927234,Q_928234,Q_929234,Q_932234,Q_930234,Q_937233,Q_938233,Q_939233,Q_940233,Q_941233,Q_942233,Q_943233,Q_944233,Q_945233,Q_946233,Q_947233,Q_949232,Q_950,Q_951,Q_952,Q_955,Q_956,Q_957,Q_958,Q_959,Q_960,Q_961,Q_346,Q_351,Q70_1201,Q_352,Q_354207,Q_356202,Q70_regions208,Industry_bundlednew203,Q32_GROUP205,Q33_discrete204,Q_3_bundled210,Q33Q32206
Europe,Germany,150 - 500,IT,Business,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,,,,Scalability,Functional scope,Connectivity to source and target systems,,,Ease of use for technical users,,,,,Existing relationship with the vendor,Know-how available on the market,,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,Data Fabric,,Lack of maturity in the enterprise,Organizational issues,Company policy/lack of resources/budget,,,,,,,,High complexity in operation,,,,,,,,,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Good,Satisfactory,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,Business intelligence,,,,,,,Master data/Data quality management,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,Creating a data culture,Building competencies,,,Acquiring new technology,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,IT,Person responsible for BI from IT department,Finance and controlling,Europe,IT,150 - 500,Less than 25,Microsoft Azure Data Factory,1 to less than 5%
Europe,Germany,Less than 150,IT,Did not respond,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,,,,Convincing performance,Scalability,,,,Provision/deployment model,,,,Existing know-how in the company,,Existing relationship with the vendor,,,,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,,,Cloud Integration,,,,,,,,,Lack of maturity in the enterprise,,,Lack of use cases/quick-win scenarios,Lack of internal know-how,Lack of external know-how,,,,,High complexity in operation,High complexity in development,Unreliable software,,,,,,,Satisfactory,Satisfactory,Good,Good,Good,Satisfactory,Poor,Good,Satisfactory,Excellent,Poor,Rather satisfied,Probably,,,Advanced analytics,Business intelligence,,,Use of artificial intelligence,,,"$100,000 - $499,999",,Data-driven culture,,,,,Data warehouse modernization,Artificial intelligence,Cloud for data & analytics,,,,,Creating a data culture,,,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,Germany,Germany,IT,Data scientist,,Europe,IT,Less than 150,Less than 25,Microsoft Azure Data Factory,1 to less than 5%
Europe,Germany,Less than 150,Services,Did not respond,Microsoft Azure Data Factory,Innovative strength of the vendor,,,,Solution met our requirements,,,,,,,,,,Existing know-how in the company,,,,,,,Data Warehousing/BI,,,,,,,,,Data Warehouse Automation,,,Advanced Analytics/Machine Learning/AI,,,Data Fabric,,Lack of maturity in the enterprise,,,,,,,,,,,High complexity in development,,,,,,,,Satisfactory,Good,Good,Good,Good,Don't know/not available,Good,Good,Satisfactory,Good,Satisfactory,Rather satisfied,Probably,Transformation to a data-driven company,New business models,,,,,,,,"Less than $100,000",,Data-driven culture,,,,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,verovis,Germany,Germany,Healthcare,Business analyst,,Europe,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,15 to less than 20%
Europe,Germany,More than 6000,Transport,Business,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,Recommendation/chosen after selection,Existing relationship with the vendor,Know-how available on the market,,Holistic Data Platform,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,Cloud Integration,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",,Data-driven culture,Empowerment of business users,,Data governance,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,Developing implementation concepts,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Transportation and logistics,Person responsible for BI from IT department,Dedicated BI and analytics unit,Europe,Transport,More than 6000,Less than 25,Microsoft Azure Data Factory,1 to less than 5%
Europe,Germany,Less than 150,Services,Did not respond,Microsoft Azure Data Factory,,,,,,,,,,,,,,,,Recommendation/chosen after selection,,,,,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,,,,,,,Lack of use cases/quick-win scenarios,,,,,,,,,,,,,,,,Good,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Don't know/not available,Don't know/not available,Satisfactory,Rather satisfied,Probably,,New business models,Advanced analytics,,,,,,,,,,Empowerment of business users,,,Self-service analytics/BI,,,,,,,,,,,,Acquiring new technology,Larger budgets for external service providers,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,N,Germany,Germany,Consulting,External consultant,,Europe,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,More than 75%
Europe,Germany,More than 6000,Manufacturing,Business,Microsoft Azure Data Factory,,,,,,,Scalability,,,,Provision/deployment model,,,,,,Existing relationship with the vendor,,Other,,Data Lake,Data Warehousing/BI,,,,Data Pipelining,Data Integration,,,,,,,,,,,,Lack of maturity in the enterprise,,,,,Lack of external know-how,,,,,High complexity in operation,,,,,,,,,Good,Good,Good,Satisfactory,Good,Satisfactory,Good,Satisfactory,Satisfactory,Poor,Poor,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",,,,,,,,,,Data & analytics platforms,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,Low,-77,-77,-77,-77,-66,not quoted,not quoted,quoted,not quoted,-99,-66,-77,Germany,Process industry,Person responsible for BI from IT department,Dedicated BI and analytics unit,Europe,Manufacturing,More than 6000,More than 300,Microsoft Azure Data Factory,1 to less than 5%
Europe,Germany,Less than 150,Transport,Did not respond,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,,,,,,,,,,,,,,,Existing relationship with the vendor,,,,Data Lake,Data Warehousing/BI,,,,,Data Integration,,,,,,,,,,,,,,,,,,,,,,,High complexity in development,,,,,,,,Satisfactory,Satisfactory,Good,Poor,Good,Satisfactory,Excellent,Good,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,,,,,,,"Less than $100,000",Master data/Data quality management,,,,Data governance,,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,,,Building competencies,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,Medium,not quoted,not quoted,not quoted,quoted,Die Investitionen für modernste Technologien und Verfahren sind nicht überall in unserem Geschäftsbereich anwendbar.,-77,-77,-77,-77,-66,Ceteris AG,Germany,Germany,Transportation and logistics,CEO/board member,,Europe,Transport,Less than 150,Less than 25,Microsoft Azure Data Factory,40 to less than 50%
Europe,Austria,1500 - 6000,Retail/Wholesale,Did not respond,Microsoft Azure Data Factory,,Good reputation of the product/vendor,,,,,Scalability,Functional scope,Connectivity to source and target systems,,Provision/deployment model,,Ease of use for business users,,,,,,,,,,,,,,Data Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Good,Good,Excellent,Don't know/not available,Satisfactory,Good,Good,Satisfactory,Good,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,,,,Empowerment of business users,,,Self-service analytics/BI,,,Cloud for data & analytics,,,,,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,OPITZ CONSULTING Deutschland GmbH,Germany,Austria,Retail / Wholesale / Trade,Enterprise architect,,Europe,Retail/Wholesale,1500 - 6000,Less than 25,Microsoft Azure Data Factory,1 to less than 5%
Europe,Turkey,Less than 150,IT,Did not respond,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,,Solution met our requirements,,Scalability,,,,,Ease of use for technical users,,,Existing know-how in the company,Recommendation/chosen after selection,Existing relationship with the vendor,Know-how available on the market,,,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,Query Engine,Data Pipelining,Data Integration,Data Preparation for Business Users,,Cloud Integration,Data Warehouse Automation,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Satisfactory,Satisfactory,Excellent,Satisfactory,Satisfactory,Good,Good,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,,Data democratization,Data governance,Self-service analytics/BI,Data warehouse modernization,Artificial intelligence,Cloud for data & analytics,Data & analytics platforms,Data security/data privacy,,,Creating a data culture,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,KoçDigital,Turkey,Turkey,IT,Data engineer/data manager,,Europe,IT,Less than 150,Less than 25,Microsoft Azure Data Factory,15 to less than 20%
North America,Canada,Less than 150,Services,Business,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,,Solution met our requirements,,Scalability,,,,Provision/deployment model,Ease of use for technical users,,,,,,,,Holistic Data Platform,Data Lake,Data Warehousing/BI,,,,Data Pipelining,Data Integration,,Data Virtualization,Cloud Integration,Data Warehouse Automation,,,,,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,Other,Satisfactory,Satisfactory,Poor,Poor,Satisfactory,Good,Good,Good,Don't know/not available,Good,Excellent,Partly satisfied/partly dissatisfied,Perhaps,,New business models,,Business intelligence,,Data protection,,,,"Less than $100,000",,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Canada,Consulting,External consultant,Dedicated BI and analytics unit,North America,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,More than 75%
Europe,Germany,Less than 150,Services,Business,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,,,,,,,,,,,,,Existing know-how in the company,,,,,,,Data Warehousing/BI,,,,Data Pipelining,Data Integration,,,,,,,,,,,,,,,,,,The product lacks key features,,,,,,,,,,,,,Good,Satisfactory,Satisfactory,Excellent,Good,Satisfactory,Satisfactory,Good,Satisfactory,Excellent,Good,Rather satisfied,Definitely,,,Advanced analytics,,,Data protection,,,,"$100,000 - $499,999",,,,,,,,,Cloud for data & analytics,,,,Defining a data & analytics strategy,,,,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Consulting,Data engineer/data manager,Operations/production,Europe,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,10 to less than 15%
South America,Brazil,150 - 500,Utilities,Did not respond,Microsoft Azure Data Factory,,Good reputation of the product/vendor,,Local presence and good support,,,Scalability,,Connectivity to source and target systems,,,,Ease of use for business users,Good price-performance ratio,,,,Know-how available on the market,,,Data Lake,Data Warehousing/BI,Data Governance,,,,Data Integration,Data Preparation for Business Users,,Cloud Integration,,,,Advanced Analytics/Machine Learning/AI,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Rather satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,Data protection,Use of artificial intelligence,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,Brazil,Brazil,"Oil, gas and mining",External consultant,,South America,Utilities,150 - 500,25 - 75,Microsoft Azure Data Factory,5 to less than 10%
Europe,Germany,500 - 1500,Manufacturing,IT,Microsoft Azure Data Factory,,,Vendor stability/transparency,,,,Scalability,,Connectivity to source and target systems,,Provision/deployment model,,,,,Recommendation/chosen after selection,,,,,,,,,,Data Pipelining,,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Good,Good,Good,Satisfactory,Rather satisfied,Probably,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,,,,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Manufacturing,Data engineer/data manager,IT,Europe,Manufacturing,500 - 1500,76 - 300,Microsoft Azure Data Factory,5 to less than 10%
Europe,Germany,150 - 500,IT,Business,Microsoft Azure Data Factory,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,,,,Scalability,Functional scope,Connectivity to source and target systems,,,Ease of use for technical users,,,,,Existing relationship with the vendor,Know-how available on the market,,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,Data Fabric,,Lack of maturity in the enterprise,Organizational issues,Company policy/lack of resources/budget,,,,,,,,High complexity in operation,,,,,,,,,Good,Good,Satisfactory,Good,Good,Good,Satisfactory,Good,Satisfactory,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,Business intelligence,,,,,,,Master data/Data quality management,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,Creating a data culture,Building competencies,,,Acquiring new technology,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,IT,Person responsible for BI from IT department,Finance and controlling,Europe,IT,150 - 500,Less than 25,Microsoft Azure Data Factory,1 to less than 5%
Europe,Germany,Less than 150,Services,Did not respond,Microsoft Azure Data Factory,Innovative strength of the vendor,,,,Solution met our requirements,,,,,,,,,,Existing know-how in the company,,,,,,,Data Warehousing/BI,,,,,,,,,Data Warehouse Automation,,,Advanced Analytics/Machine Learning/AI,,,Data Fabric,,Lack of maturity in the enterprise,,,,,,,,,,,High complexity in development,,,,,,,,Satisfactory,Good,Good,Good,Good,Don't know/not available,Good,Good,Satisfactory,Good,Satisfactory,Rather satisfied,Probably,Transformation to a data-driven company,New business models,,,,,,,,"Less than $100,000",,Data-driven culture,,,,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,verovis,Germany,Germany,Healthcare,Business analyst,,Europe,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,15 to less than 20%
Europe,Germany,Less than 150,Services,Did not respond,Microsoft Azure Data Factory,,,,,,,,,,,,,,,,Recommendation/chosen after selection,,,,,Data Lake,Data Warehousing/BI,,Data Storage/Data Provisioning,,,,Data Preparation for Business Users,,,,,,,,,,,,,,Lack of use cases/quick-win scenarios,,,,,,,,,,,,,,,,Good,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Don't know/not available,Don't know/not available,Satisfactory,Rather satisfied,Probably,,New business models,Advanced analytics,,,,,,,,,,Empowerment of business users,,,Self-service analytics/BI,,,,,,,,,,,,Acquiring new technology,Larger budgets for external service providers,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,N,Germany,Germany,Consulting,External consultant,,Europe,Services,Less than 150,Less than 25,Microsoft Azure Data Factory,More than 75%
Europe,Germany,More than 6000,IT,IT,Microsoft SQL Server,Innovative strength of the vendor,,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,,,,,,,,,,,,Data Warehousing/BI,,,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,High complexity in operation,,,,,,,,,Satisfactory,Good,Satisfactory,Good,Good,Good,Good,Good,Satisfactory,Satisfactory,Good,Rather satisfied,Probably,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",,Data-driven culture,Empowerment of business users,,Data governance,Self-service analytics/BI,Data warehouse modernization,,,,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,,Modernizing data & analytics architectures,,,,,,,Medium,not quoted,not quoted,not quoted,quoted,Es gibt noch viel Überzeugungsarbeit zu leisten,-77,-77,-77,-77,-66,-99,-77,Germany,IT,CIO/IT management,IT,Europe,IT,More than 6000,76 - 300,Microsoft SQL Server,1 to less than 5%
Rest of the world,South Africa,150 - 500,Services,Business,Microsoft SQL Server,,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,,,,,,,,,,Good price-performance ratio,,,,Know-how available on the market,Other,Holistic Data Platform,,Data Warehousing/BI,,,,,Data Integration,,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,Self-Service Analytics,Data Discovery,,,,,Company policy/lack of resources/budget,,,,,,,,,,,,,,,,,Excellent,Good,Good,Good,Excellent,Satisfactory,Good,Excellent,Satisfactory,Good,Excellent,Very satisfied,Definitely,,,,Business intelligence,,,,,,"Less than $100,000",,,,,,,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,Modernizing data & analytics architectures,,,,,Modernization of IT operations,,Medium,quoted,not quoted,not quoted,quoted,Benefits are not readily clear to management,-77,-77,-77,-77,-66,P Hough Data Management,South Africa,South Africa,Consulting,Chief data officer,Dedicated BI and analytics unit,Rest of the world,Services,150 - 500,25 - 75,Microsoft SQL Server,15 to less than 20%
Europe,Austria,150 - 500,Manufacturing,Business,Microsoft SQL Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Virtualization,,,,Master/Reference Data Management,,,,,,,,,,,,,,,,,,,,,,,,,Don't know/not available,Good,Don't know/not available,Don't know/not available,Don't know/not available,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Perhaps,,,,,,,Use of artificial intelligence,,,"Less than $100,000",,,,,,Self-service analytics/BI,,,,,,,,,,,,,,,,,Other,Medium,not quoted,quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,Austria,Manufacturing,Head of business department,Finance and controlling,Europe,Manufacturing,150 - 500,Less than 25,Microsoft SQL Server,1 to less than 5%
Europe,Spain,Less than 150,IT,Did not respond,Microsoft SQL Server,,,,,,,,,,,,,,,,,Existing relationship with the vendor,,,,,Data Warehousing/BI,,,,,,,,,,,,,Self-Service Analytics,,,,,,,,,,,The product is not enterprise-ready,,"Query, load, processing performance too slow",,,,Inflexible licensing model,,,Insufficient speed and/or quality of support,,Other,Poor,Good,Good,Poor,Poor,Poor,Good,Excellent,Satisfactory,Satisfactory,Satisfactory,Partly satisfied/partly dissatisfied,Probably not,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,,,,,,Data warehouse modernization,Artificial intelligence,,,,,,,,,Modernizing data & analytics architectures,Acquiring new technology,,,Developing implementation concepts,,,Low,-77,-77,-77,-77,-66,not quoted,not quoted,not quoted,quoted,Still in proof of concept phase,MORASCHI DATA STUDIO,Spain,Spain,IT,CEO/board member,,Europe,IT,Less than 150,Less than 25,Microsoft SQL Server,40 to less than 50%
Europe,Germany,500 - 1500,Manufacturing,IT,Microsoft SQL Server,Innovative strength of the vendor,,,,,Convincing performance,Scalability,Functional scope,,Openness of the tool,,,,,,,,,,,,,,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,,,,,,,"Less than $100,000",Master data/Data quality management,,,,,Self-service analytics/BI,Data warehouse modernization,,,,,,,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Manufacturing,Person responsible for BI from IT department,IT,Europe,Manufacturing,500 - 1500,Less than 25,Microsoft SQL Server,1 to less than 5%
Europe,Austria,1500 - 6000,Manufacturing,Business,Microsoft SQL Server,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Data Integration,,,,,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,,,,Good,Good,Good,Excellent,Excellent,Satisfactory,Satisfactory,Good,Satisfactory,Good,Good,Rather satisfied,Definitely,,,,Business intelligence,,Data protection,,,,"Less than $100,000",,,Empowerment of business users,,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,Creating a data culture,,Establishing organization for data & analytics,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Austria,Manufacturing,Person responsible for departmental BI,Finance and controlling,Europe,Manufacturing,1500 - 6000,Less than 25,Microsoft SQL Server,1 to less than 5%
Europe,France,1500 - 6000,Other,IT,Microsoft SQL Server,,Good reputation of the product/vendor,,,,Convincing performance,Scalability,,Connectivity to source and target systems,Openness of the tool,,Ease of use for technical users,,,Existing know-how in the company,,,,Other,,,,,,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,High complexity in operation,High complexity in development,,,,,,,,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Don't know/not available,Satisfactory,Satisfactory,Satisfactory,Good,Good,Partly satisfied/partly dissatisfied,Probably,,,Advanced analytics,,,,,,,,,,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,,Establishing organization for data & analytics,,,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,France,Services,CIO/IT management,IT,Europe,Other,1500 - 6000,76 - 300,Microsoft SQL Server,1 to less than 5%
North America,United States of America,1500 - 6000,Transport,Business,Microsoft SQL Server,,,,,,Convincing performance,Scalability,,,,,,,Good price-performance ratio,,,,,,,,,,,,,,Data Preparation for Business Users,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,Organizational issues,,,Lack of internal know-how,,,,,,,,,,,,,,,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,,,,,,,,,,,,,,,,,Data & analytics platforms,Data security/data privacy,,Defining a data & analytics strategy,Creating a data culture,,,Modernizing data & analytics architectures,,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,United States of America,Transportation and logistics,Member of cross-functional BI/analytics team,Finance and controlling,North America,Transport,1500 - 6000,76 - 300,Microsoft SQL Server,10 to less than 15%
Europe,France,150 - 500,Services,Did not respond,Microsoft SQL Server,,Good reputation of the product/vendor,,,,Convincing performance,,,,,,Ease of use for technical users,,,,,Existing relationship with the vendor,,,,,,,,,,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Don't know/not available,Don't know/not available,Satisfactory,Don't know/not available,Satisfactory,Satisfactory,Rather satisfied,Probably,,,Advanced analytics,,Regulatory/compliance requirements,,,,,"Less than $100,000",Master data/Data quality management,,,,,Self-service analytics/BI,,,,,,,,Creating a data culture,,,,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,OPT'DATA,France,France,Consulting,CEO/board member,,Europe,Services,150 - 500,Less than 25,Microsoft SQL Server,1 to less than 5%
Asia and Pacific,China,150 - 500,Services,Did not respond,Microsoft SQL Server,,,,,,Convincing performance,,,,,,,,Good price-performance ratio,,,Existing relationship with the vendor,,,,,,,,,,Data Integration,,Data Virtualization,,,,,,,,,,,,,Lack of use cases/quick-win scenarios,Lack of internal know-how,,,,,,,,,,,,,,,Good,Poor,Satisfactory,Good,Good,Poor,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Rather satisfied,Probably,,,,Business intelligence,,Data protection,,,,"Less than $100,000",,,,Data democratization,,Self-service analytics/BI,Data warehouse modernization,,,,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,,,,,Low,-77,-77,-77,-77,-66,not quoted,quoted,not quoted,not quoted,-99,Oddsoft,China,China,Consulting,Data engineer/data manager,,Asia and Pacific,Services,150 - 500,25 - 75,Microsoft SQL Server,5 to less than 10%
Europe,Germany,More than 6000,Manufacturing,IT,Microsoft SQL Server,,,,,,,Scalability,,,Openness of the tool,,,,Good price-performance ratio,,,,,,,,,,,,,,,,,,,Master/Reference Data Management,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,,,,,,Data protection,,,,,,,,,,Self-service analytics/BI,,,,,,,,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Manufacturing,IT employee,IT,Europe,Manufacturing,More than 6000,More than 300,Microsoft SQL Server,1 to less than 5%
